Prandtl,taux,Nu,chi
1.0,6.412500000000001e-9,1.0029247636560972,2
2.0,6.412500000000001e-9,1.0012639865234563,2
4.0,6.412500000000001e-9,1.0070445378542145,2
6.0,6.412500000000001e-9,1.0052437383395592,2
8.0,6.412500000000001e-9,1.031653261788887,2
10.0,6.412500000000001e-9,1.0287511481425657,2
16.0,6.412500000000001e-9,1.0165635535215538,2
20.0,6.412500000000001e-9,1.001639065297539,2
40.0,6.412500000000001e-9,1.0243707224002923,2
50.0,6.412500000000001e-9,1.0031953484265446,2
60.0,6.412500000000001e-9,1.0355382092363241,2
70.0,6.412500000000001e-9,1.0019765072778084,2
80.0,6.412500000000001e-9,1.0265282423070674,2
100.0,6.412500000000001e-9,1.0032642362068978,2
1.0, 6.412500000000001e-9, 1.0046274233038777, 5
50.0, 6.412500000000001e-9, 2.8525469512338066, 5
60.0, 6.412500000000001e-9, 2.8756778999941677, 5
70.0, 6.412500000000001e-9, 3.250290819033494, 5
80.0, 6.412500000000001e-9, 3.1653593617113343, 5
100.0, 6.412500000000001e-9, 2.880396171556744, 5
2.0, 6.412500000000001e-9, 1.0197800264741155, 5
4.0, 6.412500000000001e-9, 1.329906010932278, 5
6.0, 6.412500000000001e-9, 1.1934416087912316, 5
8.0, 6.412500000000001e-9, 1.5596349420837619, 5
10.0, 6.412500000000001e-9, 2.1388577167628027, 5
16.0, 6.412500000000001e-9, 1.753153540995817, 5
20.0, 6.412500000000001e-9, 2.119568419807388, 5
40.0, 6.412500000000001e-9, 3.043303459473981, 5
