Prandtl,taux,Nu,chi
2.0,0,2.8635624187255986,10.0
2.127,0,2.049906773685314,10.0
3.27,0,3.5549374451618654,10.0
3.397,0,3.602399663851669,10.0
3.524,0,3.511547235264251,10.0
3.651,0,3.4072925841453174,10.0
3.778,0,3.6614483145030645,10.0
3.905,0,3.50921453351776,10.0
4.032,0,3.5894401005612657,10.0
4.159,0,3.7326222045668915,10.0
4.286,0,3.086876060365399,10.0
4.413,0,1.6851723906702218,10.0
2.254,0,3.7917744641297912,10.0
4.54,0,3.7052586033372594,10.0
4.667,0,3.661210694591874,10.0
4.794,0,3.7860976041609486,10.0
4.921,0,3.472748561153148,10.0
5.048,0,3.610546497378165,10.0
5.175,0,3.5352971652108853,10.0
5.302,0,3.5129527993527865,10.0
5.429,0,3.503331038558486,10.0
5.556,0,3.413887821725304,10.0
5.683,0,3.5826376304127927,10.0
2.381,0,2.8506007815862184,10.0
5.81,0,3.8156642840178674,10.0
5.937,0,3.5592897522162033,10.0
6.064,0,3.4723449774354824,10.0
6.19,0,3.6921779818774665,10.0
6.317,0,3.5950080968251137,10.0
6.444,0,3.6148454238276027,10.0
6.571,0,3.552838818750723,10.0
6.698,0,3.379329719941124,10.0
6.825,0,3.722907377633348,10.0
6.952,0,3.668200465221742,10.0
2.508,0,3.71839068696638,10.0
7.079,0,3.749900254707191,10.0
7.206,0,3.615258291492303,10.0
7.333,0,3.6828060457725433,10.0
7.46,0,3.659094169863376,10.0
7.587,0,3.6046585996450378,10.0
7.714,0,3.581541322426902,10.0
7.841,0,3.7913943421021883,10.0
7.968,0,3.6487663316092727,10.0
8.095,0,3.6921644442841504,10.0
8.222,0,3.495926598669171,10.0
2.635,0,3.615575491708971,10.0
8.349,0,3.7141253830245278,10.0
8.476,0,3.572251046937205,10.0
8.603,0,3.54646699057131,10.0
8.73,0,3.703312783483979,10.0
8.857,0,3.506091521889863,10.0
8.984,0,3.633173360600439,10.0
9.111,0,3.6274109514986574,10.0
9.238,0,3.5711081825697075,10.0
9.365,0,3.6556159137311726,10.0
9.492,0,3.6451309330720707,10.0
2.762,0,3.5022832706588836,10.0
9.619,0,3.5317637512465985,10.0
9.746,0,3.633509641260701,10.0
9.873,0,3.483471702448855,10.0
10.0,0,3.6477993122907426,10.0
2.889,0,1.632720555749728,10.0
3.016,0,3.6432989956435415,10.0
3.143,0,3.3504669058396495,10.0
2.0,0,3.684511954077816,15.0
2.127,0,3.8612454339616313,15.0
3.27,0,3.947189900255632,15.0
3.397,0,2.9947206431259277,15.0
3.524,0,4.069481893801265,15.0
3.651,0,3.9749429670154504,15.0
3.778,0,3.6751170239134283,15.0
3.905,0,3.9567724653207166,15.0
4.032,0,4.0753023295950825,15.0
4.159,0,4.049492588479577,15.0
4.286,0,3.944759939588649,15.0
4.413,0,3.6272987364497706,15.0
2.254,0,4.153381111267928,15.0
4.54,0,4.015966090036724,15.0
4.667,0,4.09065313789584,15.0
4.794,0,3.836864113136069,15.0
4.921,0,4.30707257397335,15.0
5.048,0,4.095688196308187,15.0
5.175,0,3.977026023977406,15.0
5.302,0,4.025710214396197,15.0
5.429,0,4.013008287090033,15.0
5.556,0,3.9825213522044622,15.0
5.683,0,4.103600621278753,15.0
2.381,0,3.9384551811111583,15.0
5.81,0,4.11279624899846,15.0
5.937,0,3.8789901627995373,15.0
6.064,0,4.18016765566164,15.0
6.19,0,4.104548684393312,15.0
6.317,0,3.9354076971989955,15.0
6.444,0,3.871365768853214,15.0
6.571,0,4.014714019561495,15.0
6.698,0,3.9882058903781714,15.0
6.825,0,4.052665254759378,15.0
6.952,0,3.9535618838452504,15.0
2.508,0,3.935498318015361,15.0
7.079,0,3.874136125997595,15.0
7.206,0,3.963250162097298,15.0
7.333,0,4.03711730758676,15.0
7.46,0,4.154298327847888,15.0
7.587,0,3.942586813440222,15.0
7.714,0,4.062664113852641,15.0
7.841,0,3.96103435615746,15.0
7.968,0,3.932954490387699,15.0
8.095,0,3.980209195172076,15.0
8.222,0,3.9787911049705156,15.0
2.635,0,4.064230350921962,15.0
8.349,0,3.8987129305006016,15.0
8.476,0,4.169816654503012,15.0
8.603,0,4.257271633096632,15.0
8.73,0,4.20070639511623,15.0
8.857,0,3.9468780894658275,15.0
8.984,0,3.91567614816446,15.0
9.111,0,3.9434002644024453,15.0
9.238,0,3.871858620923587,15.0
9.365,0,3.640916885963703,15.0
9.492,0,4.150994080486673,15.0
2.762,0,4.079501375509521,15.0
9.619,0,3.9936244509196777,15.0
9.746,0,3.894600241592466,15.0
9.873,0,4.176371807439614,15.0
10.0,0,4.001282232753596,15.0
2.889,0,4.132814352525524,15.0
3.016,0,3.9892357582713034,15.0
3.143,0,3.957116669167682,15.0
