SLURM_id,gamma,const_wind_forcing,Nu
714613,2,0,1.79427109188699
714694,2,1E-10,1.79427109188698
714705,2,0.000000001,1.79427109188688
714717,2,0.00000001,1.79427109188019
714738,2,0.0000001,1.7942710912144
714748,2,0.000001,1.79427102462766
714762,2,0.00001,1.794264365708
714780,2,0.0001,1.79359599282495
714870,2,0.0005,1.77586635904603
714880,2,0.0008,1.74058324437078
714886,2,0.001,1.70062427857039
715070,2,0.01,1
715103,2,0.005,1
715126,2,0.002,1.27175483901752
715172,2,0.0015,1.50792704603437
715181,2,0.0025,1.0
715191,2,0.00225,1.0001090205644503
715201,2,0.00215,1.0635268304119423
715211,2,0.00125,1.623807318046822
715214,2,0.00175,1.367780974906062
