Prandtl,taux,Nu,chi
1.0,6.412500000000001e-9,1.1188860637718858,1.0
1.5,6.412500000000001e-9,1.764190490910944,1.0
15.0,6.412500000000001e-9,1.0157918953517238,1.0
15.0,6.412500000000001e-9,1.306110318454123,3.0
20.0,6.412500000000001e-9,1.9801710815806657,3.0
30.0,6.412500000000001e-9,1.8119674929691425,3.0
40.0,6.412500000000001e-9,2.2134086953673604,3.0
50.0,6.412500000000001e-9,2.2445460302094107,3.0
60.0,6.412500000000001e-9,2.3747308280771167,3.0
80.0,6.412500000000001e-9,2.5231439637493542,3.0
100.0,6.412500000000001e-9,2.6206004159627527,3.0
1.0,6.412500000000001e-9,1.0764000201811055,4.0
1.5,6.412500000000001e-9,1.0419013586778345,4.0
20.0,6.412500000000001e-9,1.0089909825994925,1.0
2.0,6.412500000000001e-9,1.0473978587499668,4.0
3.0,6.412500000000001e-9,1.0634020750912376,4.0
4.0,6.412500000000001e-9,1.0365873802881742,4.0
5.0,6.412500000000001e-9,1.1860765828803692,4.0
6.0,6.412500000000001e-9,1.2353232898958681,4.0
8.0,6.412500000000001e-9,1.005839641234907,4.0
10.0,6.412500000000001e-9,1.0273127205901065,4.0
12.0,6.412500000000001e-9,1.9478778248473652,4.0
15.0,6.412500000000001e-9,1.5416133786613444,4.0
20.0,6.412500000000001e-9,2.284454496747085,4.0
30.0,6.412500000000001e-9,1.171200167407868,1.0
30.0,6.412500000000001e-9,2.3304762078875063,4.0
40.0,6.412500000000001e-9,2.6179975441753056,4.0
50.0,6.412500000000001e-9,2.628288793531268,4.0
60.0,6.412500000000001e-9,2.522630000315336,4.0
80.0,6.412500000000001e-9,2.8632928515397427,4.0
100.0,6.412500000000001e-9,2.8781562264021368,4.0
1.0,6.412500000000001e-9,1.006281668376081,5.0
1.5,6.412500000000001e-9,1.1388968446074148,5.0
2.0,6.412500000000001e-9,1.1582045853572667,5.0
3.0,6.412500000000001e-9,1.0868354571839722,5.0
40.0,6.412500000000001e-9,1.0281190616604963,1.0
4.0,6.412500000000001e-9,1.0233733597118422,5.0
5.0,6.412500000000001e-9,1.0128742975714053,5.0
6.0,6.412500000000001e-9,1.291647362141146,5.0
8.0,6.412500000000001e-9,1.1439395528113478,5.0
10.0,6.412500000000001e-9,1.2173608519532129,5.0
12.0,6.412500000000001e-9,2.0415525996674155,5.0
15.0,6.412500000000001e-9,1.2885815453108902,5.0
20.0,6.412500000000001e-9,2.57489614302117,5.0
30.0,6.412500000000001e-9,2.6007139829470804,5.0
40.0,6.412500000000001e-9,2.6315891461127787,5.0
