R,Pr,Cost
6199279087.041436,0.15484479289630196,40035437880.00048
25257779243.022617,0.8524171895311224,29630771825.373234
1521553452.0773864,0.06599618158709714,23055174034.11206
6199279087.041436,0.363307532504068,17063447719.658888
373450666.60541,0.028128139814129444,13276763734.579302
25257779243.022617,2.0,12628889621.511309
1521553452.0773864,0.15484479289630196,9826313327.154345
91659875.76552904,0.011988454943549331,7645678796.569926
6199279087.041436,0.8524171895311224,7272588074.451419
373450666.60541,0.06599618158709714,5658670814.349402
22497035.289079625,0.0051095825349004005,4402910636.126588
1521553452.0773864,0.363307532504068,4188059194.892551
91659875.76552904,0.028128139814129444,3258654015.9149117
6199279087.041436,2.0,3099639543.520718
5521681.0253241975,0.0021777479920385492,2535500455.2916403
373450666.60541,0.15484479289630196,2411774136.0247498
22497035.289079625,0.011988454943549331,1876558355.101854
1521553452.0773864,0.8524171895311224,1784986824.2501383
1355243.5222531294,0.0009281749114402716,1460116520.6568286
91659875.76552904,0.06599618158709714,1388866348.9502459
5521681.0253241975,0.0051095825349004005,1080652086.0772884
373450666.60541,0.363307532504068,1027918865.407032
332631.49323284824,0.00039559612470160696,840836076.1464685
22497035.289079625,0.028128139814129444,799805299.5235333
1521553452.0773864,2.0,760776726.0386932
1355243.5222531294,0.0021777479920385492,622314210.4631268
91659875.76552904,0.15484479289630196,591946774.9032592
81641.20209655452,0.00016860646840377325,484211565.9586846
5521681.0253241975,0.011988454943549331,460583207.0374729
373450666.60541,0.8524171895311224,438107855.15814024
332631.49323284824,0.0009281749114402716,358371562.4425744
22497035.289079625,0.06599618158709714,340883892.7959736
20038.04815650644,7.186152596675619e-05,278842508.3789096
1355243.5222531294,0.0051095825349004005,265235665.1441284
91659875.76552904,0.363307532504068,252292803.10752353
81641.20209655452,0.00039559612470160696,206375131.09648237
5521681.0253241975,0.028128139814129444,196304521.44405666
373450666.60541,2.0,186725333.302705
4918.1462743236225,3.062799999999998e-05,160576801.43410036
332631.49323284824,0.0021777479920385492,152741040.03258803
22497035.289079625,0.15484479289630196,145287644.92678595
20038.04815650644,0.00016860646840377325,118845073.65707926
1355243.5222531294,0.011988454943549331,113045720.12278779
91659875.76552904,0.8524171895311224,107529361.0819218
81641.20209655452,0.0009281749114402716,87958854.61919013
5521681.0253241975,0.06599618158709714,83666674.23079728
4918.1462743236225,7.186152596675619e-05,68439212.89117633
332631.49323284824,0.0051095825349004005,65099544.03531954
22497035.289079625,0.363307532504068,61922842.98104313
20038.04815650644,0.00039559612470160696,50652791.83819326
1355243.5222531294,0.028128139814129444,48181057.51779426
91659875.76552904,2.0,45829937.88276452
81641.20209655452,0.0021777479920385492,37488819.824433275
5521681.0253241975,0.15484479289630196,35659455.652616054
4918.1462743236225,0.00016860646840377325,29169380.75320934
332631.49323284824,0.011988454943549331,27745985.18317228
22497035.289079625,0.8524171895311224,26392047.89083883
20038.04815650644,0.0009281749114402716,21588655.230308816
1355243.5222531294,0.06599618158709714,20535180.818977747
81641.20209655452,0.0051095825349004005,15978057.216790985
5521681.0253241975,0.363307532504068,15198366.483806306
4918.1462743236225,0.00039559612470160696,12432240.781006934
332631.49323284824,0.028128139814129444,11825577.355305927
22497035.289079625,2.0,11248517.644539813
20038.04815650644,0.0021777479920385492,9201270.408588093
1355243.5222531294,0.15484479289630196,8752270.5601132
1207.1117200000006,0.00016860646840377325,7159344.071600201
81641.20209655452,0.011988454943549331,6809985.313452213
5521681.0253241975,0.8524171895311224,6477674.421795077
4918.1462743236225,0.0009281749114402716,5298727.8730600625
332631.49323284824,0.06599618158709714,5040162.706896376
20038.04815650644,0.0051095825349004005,3921660.5309022637
1355243.5222531294,0.363307532504068,3730292.936433831
1207.1117200000006,0.00039559612470160696,3051373.9761998663
81641.20209655452,0.028128139814129444,2902474.2708205744
5521681.0253241975,2.0,2760840.5126620987
4918.1462743236225,0.0021777479920385492,2258363.360822038
332631.49323284824,0.15484479289630196,2148160.664696089
20038.04815650644,0.011988454943549331,1671445.4240234168
1207.1117200000006,0.0009281749114402716,1300521.8145003465
81641.20209655452,0.06599618158709714,1237059.4803096326
4918.1462743236225,0.0051095825349004005,962533.8744859888
20038.04815650644,0.028128139814129444,712384.4054003473
1207.1117200000006,0.0021777479920385492,554293.5750201499
4918.1462743236225,0.011988454943549331,410240.2100589239
1207.1117200000006,0.0051095825349004005,236244.6856969168
